SourceFile,PlazoPresentacionFecha,OrganismoConvocante,InformacionWeb,Presupuesto,Objeto,Score
20251104_Licitaciones.xlsx,11/19/2025,AYUNTAMIENTO DE MADRID. DISTRITO DE HORTALEZA,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=a3Mq9UMb45WP%2Bo96UAV7cQ%3D%3D,13237.37,"El objeto del presente contrato es la organización y el desarrollo de un Ciclo de Cine Infantil en el Distrito de Hortaleza, que consiste en la exhibición de películas infantiles así como su cobertura técnico – organizativa.",1
20251104_Licitaciones.xlsx,11/19/2025,FUNDACIÓN DEL SECTOR PÚBLICO ESTATAL CENTRO NACIONAL DE INVESTIGACIONES ONCOLÓGICAS CARLOS III,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2GZIa8c3xHAtm4eBPtV6eQ%3D%3D,55000,Servicio de Asesoría y Desarrollo de la Estrategia y Materiales de Comunicación para proyecto europeo “PERIFORMANCE: public engagement in research infrastructures for mission cancer: managing complexity of emerging technologies”.,5
20251105_Licitaciones.xlsx,11/19/2025,"TECNOLOGÍAS Y SERVICIOS AGRARIOS S.A.,S.M.E., M.P., (TRAGSATEC)",contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=V05kdWkUf%2FtrhBlEHQFSKA%3D%3D,60220,Contratación del servicio de diseño gráfico y comunicación visual del proyecto LIFE IP RBMP DUERO.,5
20251105_Licitaciones.xlsx,11/19/2025,AYUNTAMIENTO DE BARCELONA,contractaciopublica.cat/ca/detall-publicacio/915b5da8-978c-4f03-b6a8-ed2ec8e35c05/300607952,96000,Servicios para la producción de fotografías y materiales audiovisuales necesarios para el Departamento de Comunicación de Economía y Recursos del Ayuntamiento de Barcelona.,3
20251105_Licitaciones.xlsx,11/19/2025,"XARXA AUDIOVISUAL LOCAL, SL",contractaciopublica.cat/ca/detall-publicacio/78ea343c-7f45-49dd-99be-e68336118f7f/300608091,108400,Es objeto del presente pliego la de una empresa o profesional que lleve a cabo la labor comercial de la Red Audiovisual Local (XAL) en coordinación con las televisiones y radios adheridas en el ámbito de la publicidad de alcance nacional contratada por la XAL que ejecuten en los respectivos ámbitos locales.,1
20251105_Licitaciones.xlsx,11/19/2025,"FUNDACIÓN ESTATAL PARA LA FORMACIÓN EN EL EMPLEO, F.S.P",contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=f0xeYL1swMWKeVWTb9Scog%3D%3D,150000,Contratación de los servicios necesarios para la organización y celebración de 19 jornadas temáticas en distintos sectores de actividad.,3
20251105_Licitaciones.xlsx,11/18/2025,CONSELL COMARCAL DEL PALLARS SOBIRÀ (LLEIDA),contractaciopublica.cat/ca/detall-publicacio/26f707ad-d07d-48de-a3bd-8df14bbd7a4f/300607687,28087.19,"Contrato de diseño y desarrollo de una campaña de marketing de cicloturismo, dentro del Plan de Recuperación, Transformación y Resiliencia, financiado por los Fondos Next Generation EU.",4
20251105_Licitaciones.xlsx,11/19/2025,AYUNTAMIENTO DE PALAU-SOLITÀ I PLEGAMANS (BARCELONA),contractaciopublica.cat/ca/detall-publicacio/b824ab44-39df-4073-940c-4f83c546858f/300603741,14644,"Servicio de organización, coordinación, programación, gestión y realización del Mercado Medieval de Palau-solità y Plegamans que se celebra en el entorno del Castillo de Plegamans, del Parque de Can Linares y las calles adyacentes (Calle de Sant Lluís, Calle Camino de la Sierra y Calle Castell)",1
20251105_Licitaciones.xlsx,11/12/2025,AYUNTAMIENTO DE CALAFELL (TARRAGONA),contractaciopublica.cat/es/detall-publicacio/300607635,10500,Suministro y servicio de colocación y retirada de distinto material publicitario de las campañas comerciales de promoción económica hasta final de año,1
20251105_Licitaciones.xlsx,11/19/2025,IFEMA - INSTITUCIÓN FERIAL DE MADRID,licitaciones2.ifema.es/licitacion/licitaciones/detalle?id=3009715,3482602.53,Servicio de agencia creativa para el desarrollo del posicionamiento y la plataforma creativa que sitúe a Madrid como destino turístico de alto valor en mercados a largo radio.,4
20251105_Licitaciones.xlsx,11/7/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE ALCOBENDAS (MADRID),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Lf%2BHFIHQJyPVGIpKDxgsAQ%3D%3D,1900,"Servicio de cronometraje con chip desechable, gestión de inscripciones y transmisión de resultados en tiempo real durante la celebración del Cross Internacional de la Constitución – Alcobendas 2025",1
20251105_Licitaciones.xlsx,11/6/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE FUENGIROLA (MÁLAGA),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=XT4jCid2c9tSYrkJkLlFdw%3D%3D,14900,Contrato de promoción de Fuengirola como destino turístico con publicidad exterior en pantallas y mupis en Finlandia.,2
20251105_Licitaciones.xlsx,11/24/2025,"COMITÉ CENTRAL DE COMPRAS DE NAVANTIA S.A., S.M.E.",contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=3V6x4O%2B2zn%2BKeVWTb9Scog%3D%3D,35000,Gestión Redes Sociales Navantia Seanergies,5
20251105_Licitaciones.xlsx,1/12/2026,THE EUROPEAN JOINT UNDERTAKING FOR ITER AND THE DEVELOPMENT OF FUSION ENERGY ('FUSION FOR ENERGY'),industryportal.f4e.europa.eu/f4ecalls,400000,"Servicios de Monitoreo y Análisis de Medios
. Servicios de apoyo especializados en el campo del monitoreo y análisis de medios 
proporcionando a F4E artículos relevantes en los medios y menciones recopiladas, tanto cuantitativa como 
cualitativamente analizadas.",4
20251106_Licitaciones.xlsx,11/21/2025,FOMENT DE CIUTAT SA,contractaciopublica.cat/ca/detall-publicacio/1cee7bd5-435b-4a9c-955d-b4ff7def7d03/300609550,66877.82,Servicio de información en la Rambla sobre la reurbanización.,1
20251106_Licitaciones.xlsx,11/21/2025,CONSORCI MUSEU NACIONAL DE ART DE CATALUNYA,contractaciopublica.cat/ca/detall-publicacio/bf563f4b-28b7-4f9e-ac17-f058d3c177f1/300609424,58917.11,"Producción, suministro, montaje y desmontaje de museografía e instalación y desintalación de obra de arte de la exposición temporal “Los depósitos franquistas del SDPAN en el Museo Nacional” en las salas 63, 64, con medidas de contratación pública responsable social y ambiental.",1
20251106_Licitaciones.xlsx,11/20/2025,"PROMOCIÓ ECONÒMICA DE SABADELL, SL",contractaciopublica.cat/ca/detall-publicacio/28cc1a23-c277-46dd-8399-0e0bbdd00b24/300607957,31000,"Descripción: El contrato tiene por objeto la contratación de servicios de consultoría para la elaboración del Plan director de los polígonos de actividad económica (PAE's) de Sabadell, que deberá contener al menos la siguiente información: • Análisis del posicionamiento de los PAE's de Sabadell versus los del Vallès Occidental. • Análisis del peso económico de los PAE's de Sabadell sobre el total de la actividad económica de la ciudad. • Análisis de elementos de mejora de competitividad de los PAE's de Sabadell en relación a los PAE's del Vallès Occidental. • Estrategia y líneas de acción a implantar a través del Plan Director. El plan debe diagnosticar la situación actual de los polígonos industriales existentes, identificar necesidades y oportunidades de mejora, y proponer una estrategia de desarrollo y plan de acción priorizado con estimaciones de costes a medio y largo plazo, todo ello desde una perspectiva del conjunto de Sabadell y al mismo tiempo una visión concreta y específica por polígono",3
20251106_Licitaciones.xlsx,11/12/2025,"FUNDACIÓ BARCELONA CAPITAL NÀUTICA, AC 24",licitacions.bcn.cat/licitacion/licitaciones/detalle?id=13344596,14000,"Traducción, maquetación y edición impresión de una guía con contenido educativo.",3
20251106_Licitaciones.xlsx,11/12/2025,INSTITUTO DE CULTURA DE BARCELONA,licitacions.bcn.cat/licitacion/licitaciones/detalle?id=13440124,7438.02,"Servicios de coordinación, recogida, redacción, subida online, mantenimiento y archivo de los 
contenidos textuales y audiovisuales del festival Llum BCN 2026.",4
20251106_Licitaciones.xlsx,11/7/2025,AYUNTAMIENTO DE CERDANYOLA DEL VALLÈS (BARCELONA),community.vortal.biz/public/?currentLanguage=es,,Comercio y mercados contrato menor servicio campaña consignas mercados.,1
20251106_Licitaciones.xlsx,,DIPUTACIÓN DE BARCELONA DIPUTACIÓN DE BARCELONA. SECCIÓN DE LICITACIÓN,contractaciopublica.cat/es/detall-publicacio/300609112,660836.4,"Servicio de organización, implementación y coordinación de jornadas de iniciación a la vela para escolares de cuarto de primaria de centros de enseñanza de la provincia de Barcelona, Dividido en dos lotes",1
20251106_Licitaciones.xlsx,11/21/2025,MINISTERIO DE IGUALDAD. SUBSECRETARÍA DE IGUALDAD,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=s2KyGhE4WbM4NavIWzMcHA%3D%3D,29525.44,Servicio de Asistencia Audiovisual y Videostreaming en los actos celebrados en el Ministerio de Igualdad.,2
20251107_Licitaciones.xlsx,11/24/2025,FUNDACIÓ BARCELONA MOBILE WORLD CAPITAL FOUNDATION,contractaciopublica.cat/es/detall-publicacio/1c566f4d-3fd1-4460-ab61-39338ab6325d/300610958,220900,"El objeto del contrato consiste en la prestación de un servicio integral de diseño, producción ejecutiva, coordinación técnica y gestión operativa de los espacios específicos en el marco del evento Talent Arena 2026, promovido por MWCapital. El servicio comprenderá, como mínimo, los cuatro (4) bloques funcionales descritos en el apartado 3 del Pliego de Prescripciones Técnicas (PPT): (I) Diseño y adaptación de los espacios específicos al concepto general del evento; (II) Producción ejecutiva y montaje de los espacios, incluyendo la dotación de materiales, elementos audiovisuales, mobiliario y equipamientos técnicos necesarios; (III) Coordinación técnica y operativa durante el evento, incluyendo supervisión y mantenimiento; y (IV) Gestión general del proyecto, seguimiento y cierre.",1
20251107_Licitaciones.xlsx,6/23/2030,CENTRO DE TELECOMUNICACIONES Y TECNOLOGÍAS DE LA INFORMACIÓN DE LA GENERALITAT DE CATALUNYA,contractaciopublica.cat/ca/detall-publicacio/43ced24f-d1ae-4950-88cb-51ac72424929/300448472,6519432000,"Sistema Dinámico de Adquisición para la adhesión de proveedores para la contratación de los servicios de definición, gestión, construcción, mantenimiento y operación, y el soporte a las soluciones TIC, para el Centro de Telecomunicaciones y Tecnologías de la Información de la Generalitat de Catalunya. Lote 1 Categoría En Franja A1 Consultoría de Soluciones TIC. Importes de licitación inferiores o iguales a 150.000,00 €. Lote 2 Categoría En Franja A2 Consultoría de Soluciones TIC Importes de licitación superiores a 150.000,00 €. Lote 3 Subcategoría B1 Construcción y/o mantenimiento de Sistemas de Información con tecnología específica GIS. Lote 4 Subcategoría B2 Franja B2-1 Construcción y/o mantenimiento de Sistemas de Información con tecnología específica asociada a paquetes de software de soluciones empresariales. Importe de licitación inferior e igual a 300.000,00 euros. Lote 5 Subcategoría B2 Franja B2-2 Construcción y/o mantenimiento de Sistemas de Información con tecnología específica asociada a paquetes de software de soluciones empresariales. Importe de licitación superior a 300.000,00 euros. Lote 6 Subcategoría B3 Franja B3-1 Construcción y/o mantenimiento de Sistemas de Información con tecnología del dato e inteligencia artificial. Importe de licitación inferior o igual a 300.000,00 euros. Lote 7 Subcategoría B3 Franja B3-2 Construcción y/o mantenimiento de Sistemas de Información con tecnología del dato e inteligencia artificial. Importe de licitación superior a 300.000,00 euros.
Lote 8 Subcategoría B4 Franja B4-1 Construcción y/o mantenimiento de frameworks, componentes y plataformas de arquitectura. Importe de licitación inferior o igual a 300.000,0 euros. Lote 9 Subcategoría B4 Franja B4-2 Construcción y/o mantenimiento de frameworks, componentes y plataformas de arquitectura. Importe de licitación superior a 300.000,00 euros. Lote 10 Subcategoría C Franja C1 Construcción y/o mantenimiento de Sistemas de Información con tecnología no específica. (15 lotes en total, consultar en los pliegos)...",2
20251107_Licitaciones.xlsx,11/17/2025,UNIVERSITAT DE BARCELONA,contractaciopublica.cat/ca/detall-publicacio/f67be653-67f4-44d6-b1f1-03abac1c05e8/300610154,26450,"Provisión de servicios por las actividades de divulgación de la Unidad de Cultura Científica e Innovación (UCC+I) de la Universidad de Barcelona. Los lotes que se incluirían en este contrato son los siguientes: - Desayunos de pausas de jornadas y sesiones de formación, así como de reuniones de trabajo. - Desayunos del personal implicado en la realización de la Fiesta de la Ciencia de la Universidad de Barcelona. - Paella de la comida ofrecida al personal implicado en la realización de la Fiesta de la Ciencia de la Universidad de Barcelona. - Bebidas de la comida ofrecida al personal implicado en la realización de la Fiesta de la Ciencia de la Universidad de Barcelona. - Diseño gráfico y adaptaciones de los proyectos de la UCC+I. - Alquiler mobiliario de la Fiesta de la Ciencia. Lote 1 Desayunos de pausas de jornadas y sesiones de formación, así como de reuniones de trabajo. Lote 2 Desayunos del personal implicado en la realización de la Fiesta de la Ciencia. Lote 3 Paella de la comida ofrecida al personal implicado en la realización de la Fiesta de la Ciencia. Lote 4 Bebidas de la comida ofrecida al personal implicado en la realización de la Fiesta de la Ciencia. Lote 5 Diseño gráfico y adaptaciones de los proyectos de la UCC+I. Lote 6 Alquiler mobiliario de la Fiesta de la Ciencia",1
20251107_Licitaciones.xlsx,11/24/2025,AYUNTAMIENTO DE CORNELLÀ DE LLOBREGAT (BARCELONA),contractaciopublica.cat/ca/detall-publicacio/46bf0681-c1ad-4408-a501-772043240eca/300610151,16453.12,Servicios de montaje y monitorización de los mercados de segunda mano de Cornellà 2026 y 2027.,1
20251107_Licitaciones.xlsx,11/21/2025,AYUNTAMIENTO DE PINEDA DE MAR (BARCELONA),contractaciopublica.cat/ca/detall-publicacio/f907990f-3c4b-4291-a6f3-8e76e35df686/300608708,14760,El objeto del contrato es la contratación mixta del suministro e instalación de una plataforma de destino con IA generativa sobre la web de destino VisitPineda en pantalla táctil exterior de mínimo 32 pulgadas para instalar en la fachada exterior de la Oficina de turismo y servicio de aplicación de plataforma inteligencia artificial generativa en tótem infomativo comercial y su mantenimiento,3
20251107_Licitaciones.xlsx,11/24/2025,INSTITUTO CATALÁN DE LAS EMPRESAS CULTURALES,contractaciopublica.cat/ca/detall-publicacio/63b24511-4c05-4325-bf7e-1bdd9c636d3d/300603366,44250,"Servicios técnicos (sonido, iluminación, multimedia y concejalía) necesarios para las diversas actividades que se llevan a cabo en el centro de artes Santa Mònica.",1
20251107_Licitaciones.xlsx,11/13/2025,"FERROCARRIL METROPOLITA DE BARCELONA, SA",community.vortal.biz/public/?currentLanguage=es,,Guía para la persona usuaria de metro.,2
20251107_Licitaciones.xlsx,12/10/2025,FIRA BARCELONA,www.firabarcelona.com/licitacio/,,"Suministro, montaje, desmontaje, almacenamiento y mantenimiento de stands y zona de actividades para el salón Barcelona Wine Week (en lo sucesivo el “Salón”) celebrado en los recintos feriales de Montjuïc o Gran Vía.",1
20251107_Licitaciones.xlsx,12/9/2025,JUNTA DE ANDALUCÍA. AGENCIA EMPRESARIAL PARA LA TRANSFORMACIÓN Y EL DESARROLLO ECONÓMICO,www.juntadeandalucia.es/haciendayadministracionpublica/apl/pdc_sirec/perfiles-licitaciones/detalle-licitacion.jsf?idExpediente=874000,136321.26,"Servicios a demanda relacionados con la internacionalización de empresas andaluzas en Indonesia, Singapur y Malasia.",0
20251110_Licitaciones.xlsx,12/7/2025,MINISTERIO DE DEFENSA. INTENDENCIA DE MADRID,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=jk%2B%2Fx4t20peopEMYCmrbmw%3D%3D,256198.34,T.A Asistencia Técnica para la elaboración del plan de comunicación y su seguimiento durante la conmemoración del centenario del Buque Escuela JSE.,5
20251110_Licitaciones.xlsx,11/24/2025,SECRETARÍA GENERAL DE LA FEDERACIÓN ESPAÑOLA DE MUNICIPIOS Y PROVINCIAS,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=EUEW6XcF2o4adbH3CysQuQ%3D%3D,446886.45,"Contrato de los servicios para el diseño y desarrollo y de una red de ontologías aplicables al ámbito Smart City en el espacio de datos de infraestructuras urbanas inteligentes (EDINT), en el marco del Plan de Recuperación, Transformación y Resiliencia financiado por la Unión Europea – Next Generation EU.",0
20251110_Licitaciones.xlsx,12/9/2025,MINISTERIO DE HACIENDA. DIRECCIÓN DEL SERVICIO DE GESTIÓN ECONÓMICA DE LA AGENCIA ESTATAL DE LA ADMINISTRACIÓN TRIBUTARIA,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=%2FHoVVQgUIIBPpzdqOdhuWg%3D%3D,560000,"Creatividad, diseño y producción de una campaña de publicidad de sensibilización sobre la necesidad de cumplir con las obligaciones fiscales y asistencia a la ciudadanía en el cumplimiento de sus obligaciones fiscales.",5
20251110_Licitaciones.xlsx,12/9/2025,AYUNTAMIENTO DE SANTA COLOMA DE GRAMENET (BARCELONA),contractaciopublica.cat/ca/detall-publicacio/7be47f76-4beb-4557-80b8-2c62c25e6ecc/300611080,244026,"Contratación de una central de medios para la gestión e inserción de la publicidad institucional del Ayuntamiento de Santa Coloma de Gramenet en medios de comunicación locales y generalistas (prensa escrita, prensa digital y radio); en redes sociales (Facebook, X (antes Twitter), Instagram, TikTok y Youtube); patrocinios y colaboraciones en actos y promociones y la gestión de la inserción de anuncios oficiales de carácter obligatorio, encartes, esquelas y clasificados en los diarios de mayor difusión en la zona. Complementariamente es objeto del contrato la promoción del medio ambiente",3
20251110_Licitaciones.xlsx,11/24/2025,RECTORADO DE LA UNIVERSIDAD AUTÓNOMA DE MADRID,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=SOkz7cvWvHRxseVhcqrkhw%3D%3D,49586.78,"Publicidad, promoción, información y marketing de la oferta académica del Centro de Postgrado de la UAM, siendo el objetivo general potenciar y promocionar a nivel nacional e internacional, especialmente en Latinoamérica, la oferta de másteres universitarios oficiales de la UAM, de modo que llegue al mayor número de potenciales estudiantes y sus prescriptores.",5
20251110_Licitaciones.xlsx,11/24/2025,UNIVERSITAT ROVIRA I VIRGILI,contractaciopublica.cat/ca/detall-publicacio/295233ff-9d17-4d80-86e2-a3e625a2f87e/300611279,36611.57,"Servicio de diseño, producción, transporte de materiales, mantenimiento, montaje y desmontaje del stand de la Universidad Rovira i Virgili en el Salón de la Enseñanza de Barcelona SE 11/26",2
20251110_Licitaciones.xlsx,11/24/2025,FUNDACIÓ PER A LA UNIVERSITAT OBERTA DE CATALUNYA,contractaciopublica.cat/ca/detall-publicacio/277c26a8-3ddf-4d0e-9399-7bf55a808e3c/300524008,49999,"Servicio especializado en la producción de materiales formativos online a medida, capaz de llevar a cabo de forma autónoma, integrada y paralela las diferentes fases del proceso: diseño instruccional, creación de contenidos, desarrollo multimedia y técnico, siguiendo el modelo pedagógico de la UOC y garantizando la calidad y la eficiencia en la ejecución[Lote 1 Virtualización integral de un proyecto formativo para el entorno digital - Lote 2 Generación de productos específicos: tipos infografía interactiva, videotutoriales vídeos dinámicos.]",3
20251110_Licitaciones.xlsx,11/28/2025,MINISTERIO DE DEFENSA. JEFATURA DE ASUNTOS ECONÓMICOS DEL ESTADO MAYOR DEL EJÉRCITO,contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=Oy%2B%2FWSyY74aGCFcHcNGIlQ%3D%3D,23140.5,"Servicio de clipping de prensa escrita, digital, online, radio y televisión, a nivel nacional y provincial, para la confección diaria del resumen de prensa del Ejército de Tierra",5
20251110_Licitaciones.xlsx,11/17/2025,AYUNTAMIENTO DE TARRAGONA. DEPARTAMENTO DE CULTURA,contractaciopublica.cat/es/detall-publicacio/300611255,11983.47,"Servicio de impresión, encuadernación y entrega de diferentes ediciones del Plan estratégico Tarragona Cultura 2033",1
20251110_Licitaciones.xlsx,11/13/2025,GENERALITAT DE CATALUNYA. DEPARTAMENTO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL SERVICIOS CENTRALES,contractaciopublica.cat/es/detall-publicacio/300609395,14500,Servicio de organización del encuentro preparatorio de la selección catalana para la participación en el Spainskills 2026,2
20251110_Licitaciones.xlsx,,AYUNTAMIENTO DE BREDA (GIRONA),contractaciopublica.cat/es/detall-publicacio/300611926,,"Iniciar el expediente de contratación de Servicios de información y comunicación local, mediante procedimiento abierto simplificado.",1
20251110_Licitaciones.xlsx,,"GRANOLLERS ESCENA, S.L",contractaciopublica.cat/es/detall-publicacio/300611360,,Plan anual de contratación para 2026 de Granollers Escena SLU,1
20251110_Licitaciones.xlsx,11/12/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE ALCORCÓN (MADRID),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=7YKzFPgKflPmnwcj%2BxbdTg%3D%3D,6000,"La casita de la Navidad: ""Navidad en familia""",2
20251110_Licitaciones.xlsx,11/24/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE MIERES (ASTURIAS),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=2J%2Bg%2F1VuWfIUqXM96WStVA%3D%3D,32400,Suministro de carpas plegables para eventos y actividades organizadas por las distintas áreas del Ayuntamiento de Mieres.,1
20251111_Licitaciones.xlsx,11/25/2025,JUNTA DE GOBIERNO DEL AYUNTAMIENTO DE ALCOBENDAS (MADRID),contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&idEvl=3fbCfDQnNOrVGIpKDxgsAQ%3D%3D,57851.24,"Gala empresarial de los premios Avanza, que se celebrará en un hotel de Alcobendas donde se entregarán los premios a las empresas y personalidades que han contribuido significativamente al desarrollo de la ciudad y la región.",2
20251111_Licitaciones.xlsx,11/25/2025,CONSELH GENERAU DE ARAN (LLEIDA),contractaciopublica.cat/oc/detall-publicacio/12a68dd1-122d-4660-9f64-e3fa45b785ea/300613321,150000,Servicio de producción y emisión televisiva de contenidos audiovisuaves en Aranès en territorio de Arán.,1
20251111_Licitaciones.xlsx,11/27/2025,DIPUTACIÓN DE BARCELONA,contractaciopublica.cat/ca/detall-publicacio/f66a0d89-949e-4baf-a4f2-7fe14a9f6963/300613348,47280,Organización del evento de clausura del Cicle de Passejades para las Personas Mayores.,2
20251111_Licitaciones.xlsx,11/25/2025,FUNDACIÓ PRIVADA INSTITUT DE FORMACIÓ CONTÍNUA DE LA UNIVERSITAT DE BARCELONA (IL3-UB) (M.P.),contractaciopublica.cat/ca/detall-publicacio/d98fe542-b1c3-4a6e-a951-0b2878a3654e/300613320,98400,"El presente contrato tiene por objeto la contratación de: • Servicio de alojamiento completo para 100 personas por el período del 18 al 22 de enero de 2026: 5 días (4 noches) y por 100 personas por el periodo del 25 al 27 de junio de 2026: 3 días (2 noches), • Servicio de forfait extra. • Servicio de 28 almuerzos y 20 almuerzos para el equipo docente participante • Diferentes espacios y salas polivalentes con materiales audiovisuales y ordenadores, • Servicio de parking con un mínimo de 75 plazas. El servicio de alojamiento completo incluye: alojamiento en habitación doble compartida o individual, desayuno buffet, coffee break mañana, comida tipo buffet, coffee break tarde y cena tipo bufé.",1
20251111_Licitaciones.xlsx,11/24/2025,GENERALITAT DE CATALUNYA. DEPARTAMENTO DE INTERIOR Y SEGURIDAD PÚBLICA,contractaciopublica.cat/ca/detall-publicacio/8101ab3b-e1ee-4337-a689-d56ccbb23f2e/300613205,59000,"Servicio de diseño, construcción y montaje y desmontaje de un stand para la Dirección General de la Policía en el Mobile World Congress 2026.",1
